timestamp:integer,:START_ID,relation:TYPE,:END_ID,relationCode:int,relationName:string
2980271435,P005218155,family,P001567523,105,配偶
2980271436,P001425923,family,P002931984,219,其他
2980271437,P001556314,family,P002932546,105,配偶
2980271438,P001418943,family,P005220739,105,配偶
2980271439,P001427190,family,P001427199,103,父亲
2980271440,P001486169,family,P002931338,105,配偶
2980271441,P002931032,family,P002931487,219,其他
2980271442,P002931093,family,P002933014,103,父亲
2980271443,P001435476,family,P005218627,209,姐夫
2980271444,P001423741,family,P001406380,105,配偶
2980271445,P001393986,family,P001424741,105,配偶
2980271446,P002930287,family,P001428287,103,父亲
2980271447,P000423719,family,P001569024,211,叔侄
2980271448,P001428566,family,P005218691,105,配偶
2980271449,P001419430,family,P005221547,106,兄弟
2980271450,P001407631,family,P001407634,106,兄弟
2980271451,P001417775,family,P001418137,212,姑侄
2980271452,P001425750,family,P001425754,106,兄弟
2980271453,P001453561,family,P001435185,105,配偶
2980271454,P001455015,family,P001552345,110,儿子
2980271455,P002930670,family,P002932453,105,配偶
2980271456,P001546999,family,P005219526,107,姐妹
2980271457,P001408029,family,P001408221,209,姐夫
2980271458,P001409931,family,P001409932,105,配偶
2980271459,P001509520,family,P002931176,106,兄弟
2980271460,P001574320,family,P002932817,105,配偶
2980271461,P001495265,family,P005220453,211,叔侄
2980271462,P001429049,family,P005220503,106,兄弟
2980271463,P002930646,family,P001398805,106,兄弟
2980271464,P001437453,family,P001536873,106,兄弟
2980271465,P002280725,family,P002279668,105,配偶
2980271466,P001403736,family,P005220700,106,兄弟
2980271467,P001434192,family,P001434193,105,配偶
2980271468,P002930813,family,P002931340,215,儿媳
2980271469,P001438124,family,P002931343,215,儿媳
2980271470,P001417395,family,P002931486,106,兄弟
2980271471,P001395445,family,P002932165,105,配偶
2980271472,P001408378,family,P005218653,211,叔侄
2980271473,P001426501,family,P005219336,105,配偶
2980271474,P001427107,family,P001501085,106,兄弟
2980271475,P002931940,family,P002930803,105,配偶
2980271476,P001473598,family,P002931620,105,配偶
2980271477,P001428015,family,P002932733,108,兄妹
2980271478,P002931112,family,P002933016,211,叔侄
2980271479,P001420948,family,P001403750,106,兄弟
2980271480,P005218161,family,P001445449,105,配偶
2980271481,P001509523,family,P001509524,211,叔侄
2980271482,P001417775,family,P002930655,105,配偶
2980271483,P001433583,family,P002932098,103,父亲
2980271484,P001419847,family,P001402597,213,舅甥
2980271485,P001427020,family,P001465019,106,兄弟
2980271486,P001392252,family,P002932751,103,父亲
2980271487,P001405974,family,P005219342,220,亲属
2980271488,P001466565,family,P005220842,105,配偶
2980271489,P001447402,family,P002931254,105,配偶
2980271490,P001524664,family,P005219112,105,配偶
2980271491,P001438124,family,P002932665,106,兄弟
2980271492,P001424536,family,P005218617,105,配偶
2980271493,P001569190,family,P005221468,209,姐夫
2980271494,P005218208,family,P001414659,108,兄妹
2980271495,P002930363,family,P001443928,103,父亲
2980271496,P005218297,family,P001550202,108,兄妹
2980271497,P001400008,family,P002930861,110,儿子
2980271498,P001410600,family,P002931515,105,配偶
2980271499,P001394613,family,P002933029,219,其他
2980271500,P001405979,family,P005218663,105,配偶
2980271501,P001402981,family,P005220546,108,兄妹
2980271502,P001426031,family,P001408682,103,父亲
2980271503,P001428640,family,P001431978,105,配偶
2980271504,P001433200,family,P002930338,106,兄弟
2980271505,P002930283,family,P002930826,105,配偶
2980271506,P002930337,family,P002931272,104,母亲
2980271507,P001423738,family,P002932174,103,父亲
2980271508,P001393039,family,P005218753,106,兄弟
2980271509,P005217887,family,P005218845,107,姐妹
2980271510,P001445628,family,P000948773,103,父亲
2980271511,P001422659,family,P001405293,106,兄弟
2980271512,P002931061,family,P001423350,103,父亲
2980271513,P001394641,family,P001519461,201,表兄弟
2980271514,P001454268,family,P001555061,220,亲属
2980271515,P001407603,family,P002931934,109,姐弟
2980271516,P001407952,family,P005220967,103,父亲
2980271517,P001416289,family,P005221135,103,父亲
2980271518,P001413437,family,P001413438,106,兄弟
2980271519,P001413926,family,P002932829,213,舅甥
2980271520,P005218234,family,P005220788,103,父亲
2980271521,P001518256,family,P005221138,110,儿子
2980271522,P001407228,family,P001407230,105,配偶
2980271523,P001478864,family,P001556368,220,亲属
2980271524,P002930959,family,P001564073,106,兄弟
2980271525,P001390900,family,P002931973,103,父亲
2980271526,P002931117,family,P002933020,103,父亲
2980271527,P001548272,family,P005217951,105,配偶
2980271528,P001422365,family,P001422367,106,兄弟
2980271529,P002930518,family,P001424485,216,女婿
2980271530,P001445227,family,P001445231,105,配偶
2980271531,P001425426,family,P005219667,109,姐弟
2980271532,P001425963,family,P005220380,220,亲属
2980271533,P001411698,family,P001411699,105,配偶
2980271534,P001516069,family,P001516908,105,配偶
2980271535,P001513647,family,P002932409,209,姐夫
2980271536,P002930626,family,P001417001,105,配偶
2980271537,P001499095,family,P001573759,103,父亲
2980271538,P001424823,family,P005220212,105,配偶
2980271539,P001429087,family,P001411700,103,父亲
2980271540,P001426207,family,P002932324,105,配偶
2980271541,P001399880,family,P002932800,214,弟媳
2980271542,P001444435,family,P005219008,210,妹夫
2980271543,P001417544,family,P005219619,106,兄弟
2980271544,P005218056,family,P001399862,105,配偶
2980271545,P001462625,family,P002931269,220,亲属
2980271546,P001426829,family,P002931525,105,配偶
2980271547,P001403361,family,P002931557,213,舅甥
2980271548,P001393066,family,P002931917,109,姐弟
2980271549,P001425963,family,P005221386,220,亲属
2980271550,P005218185,family,P001471145,108,兄妹
2980271551,P001405665,family,P005220348,108,兄妹
2980271552,P001409991,family,P005221072,103,父亲
2980271553,P001403749,family,P005221463,103,父亲
2980271554,P002930901,family,P001402300,106,兄弟
2980271555,P001463974,family,P001445146,103,父亲
2980271556,P002930916,family,P001547647,105,配偶
2980271557,P002930588,family,P001569711,105,配偶
2980271558,P001472093,family,P002931392,212,姑侄
2980271559,P001393888,family,P000759510,105,配偶
2980271560,P001410658,family,P001410659,106,兄弟
2980271561,P005218176,family,P001422763,103,父亲
2980271562,P001393888,family,P001437838,105,配偶
2980271563,P001445537,family,P002930932,105,配偶
2980271564,P001391673,family,P002933008,106,兄弟
2980271565,P001444487,family,P001444503,103,父亲
2980271566,P001447426,family,P001447427,108,兄妹
2980271567,P001410551,family,P002930441,105,配偶
2980271568,P001517279,family,P001579569,215,儿媳
2980271569,P005086348,family,P005219027,105,配偶
2980271570,P001434560,family,P005219864,105,配偶
2980271571,P005217993,family,P001399200,103,父亲
2980271572,P001453854,family,P005220381,105,配偶
2980271573,P001400623,family,P005220921,106,兄弟
2980271574,P005218213,family,P000319159,105,配偶
2980271575,P001468185,family,P001572320,104,母亲
2980271576,P001410600,family,P002930825,110,儿子
2980271577,P002930621,family,P002931694,105,配偶
2980271578,P001426753,family,P001433563,209,姐夫
2980271579,P001427798,family,P001450009,212,姑侄
2980271580,P001404442,family,P002932016,220,亲属
2980271581,P001420248,family,P002932704,108,兄妹
2980271582,P001407207,family,P005219105,105,配偶
2980271583,P001413235,family,P005219682,105,配偶
2980271584,P001412163,family,P005220689,105,配偶
2980271585,P001411756,family,P005221496,105,配偶
2980271586,P000073566,family,P005221594,105,配偶
2980271587,P001426576,family,P001469783,103,父亲
2980271588,P001428080,family,P001522170,103,父亲
2980271589,P001475924,family,P001569292,213,舅甥
2980271590,P001445339,family,P002932464,206,表姐弟
2980271591,P001150105,family,P005219166,103,父亲
2980271592,P001426647,family,P001445225,103,父亲
2980271593,P001474749,family,P002931467,220,亲属
2980271594,P002930703,family,P002932177,107,姐妹
2980271595,P001420719,family,P005219269,105,配偶
2980271596,P005218228,family,P005220669,105,配偶
2980271597,P001451386,family,P002931422,105,配偶
2980271598,P001446002,family,P002932020,106,兄弟
2980271599,P001428353,family,P002932737,103,父亲
2980271600,P001451667,family,P005221733,106,兄弟
2980271601,P001427174,family,P001445760,103,父亲
2980271602,P001419519,family,P002932917,106,兄弟
2980271603,P001451663,family,P005219649,210,妹夫
2980271604,P005218365,family,P001411430,109,姐弟
2980271605,P001483777,family,P001568059,210,妹夫
2980271606,P001507578,family,P005218481,107,姐妹
2980271607,P001540739,family,P005219477,106,兄弟
2980271608,P001402673,family,P002930956,109,姐弟
2980271609,P002931123,family,P002931932,105,配偶
2980271610,P001446044,family,P005218944,219,其他
2980271611,P001452103,family,P005219764,220,亲属
2980271612,P005218086,family,P005220018,106,兄弟
2980271613,P002930817,family,P001426081,108,兄妹
2980271614,P001529896,family,P001529903,105,配偶
2980271615,P001428215,family,P002931245,105,配偶
2980271617,P001420988,family,P002931712,106,兄弟
2980271618,P001405217,family,P002931737,106,兄弟
2980271619,P001412074,family,P005220980,210,妹夫
2980271620,P001426379,family,P005221064,220,亲属
2980271621,P001419396,family,P001402140,106,兄弟
2980271622,P001445531,family,P001522257,219,其他
2980271623,P001411650,family,P002930284,111,女儿
2980271624,P001395423,family,P005219172,105,配偶
2980271625,P001430940,family,P005219674,103,父亲
2980271626,P001425932,family,P002931724,210,妹夫
2980271627,P005190063,family,P005190574,105,配偶
2980271628,P001546169,family,P005218956,105,配偶
2980271629,P005218387,family,P001393937,103,父亲
2980271630,P001399640,family,P002930869,111,女儿
2980271631,P001520531,family,P002930995,216,女婿
2980271632,P001508955,family,P005218603,109,姐弟
2980271633,P001405219,family,P005219486,106,兄弟
2980271634,P001411208,family,P005219800,105,配偶
2980271635,P000596815,family,P005219947,107,姐妹
2980271636,P001424836,family,P005220489,103,父亲
2980271637,P001427091,family,P001427093,103,父亲
2980271638,P001412017,family,P001429408,103,父亲
2980271639,P001466581,family,P001566614,106,兄弟
2980271640,P001411133,family,P005218911,108,兄妹
2980271641,P001422268,family,P005220575,106,兄弟
2980271642,P001407950,family,P001414449,103,父亲
2980271643,P005217970,family,P001453814,104,母亲
2980271644,P001437093,family,P001540788,216,女婿
2980271645,P005218032,family,P005219711,108,兄妹
2980271646,P001408183,family,P005219898,106,兄弟
2980271647,P001405968,family,P001405971,220,亲属
2980271648,P001409692,family,P002931782,108,兄妹
2980271649,P002930765,family,P002932376,106,兄弟
2980271650,P002930398,family,P001417357,201,表兄弟
2980271651,P001444532,family,P001567606,212,姑侄
2980271652,P001414680,family,P001424314,105,配偶
2980271653,P001114787,family,P005220194,105,配偶
2980271654,P001416130,family,P005220498,106,兄弟
2980271655,P001480882,family,P005220537,108,兄妹
2980271656,P001492581,family,P005221381,105,配偶
2980271657,P001403392,family,P001508297,103,父亲
2980271658,P002930290,family,P002932311,105,配偶
2980271659,P001431721,family,P005220603,108,兄妹
2980271660,P001439767,family,P005221297,106,兄弟
2980271661,P000186450,family,P000616216,105,配偶
2980271662,P001410254,family,P002931509,220,亲属
2980271663,P001444166,family,P005220434,105,配偶
2980271664,P001403334,family,P005221007,103,父亲
2980271665,P001580836,family,P005221364,105,配偶
2980271666,P001427158,family,P005221513,106,兄弟
2980271667,P002931018,family,P001409485,103,父亲
2980271668,P001472679,family,P001453704,108,兄妹
2980271669,P001454446,family,P001478582,106,兄弟
2980271670,P001408400,family,P001513811,103,父亲
2980271671,P001423473,family,P001539164,106,兄弟
2980271672,P001483777,family,P001579990,213,舅甥
2980271673,P001540183,family,P005218668,105,配偶
2980271674,P001400658,family,P005220133,105,配偶
2980271675,P002930516,family,P002931385,105,配偶
2980271676,P000342818,family,P002932004,105,配偶
2980271677,P000842705,family,P002932417,209,姐夫
2980271678,P001428087,family,P002932511,106,兄弟
2980271679,P005218013,family,P005219654,103,父亲
2980271680,P001428120,family,P005219765,105,配偶
2980271681,P001426659,family,P001426660,105,配偶
2980271682,P001400329,family,P002932486,105,配偶
2980271683,P001403307,family,P001420529,210,妹夫
2980271684,P001417789,family,P001435218,106,兄弟
2980271685,P001444841,family,P001444842,105,配偶
2980271686,P005218225,family,P001495169,105,配偶
2980271687,P001433955,family,P001532020,105,配偶
2980271688,P001475914,family,P002931257,219,其他
2980271689,P001419928,family,P005220920,105,配偶
2980271690,P001412631,family,P005221117,105,配偶
2980271691,P001401920,family,P002931329,105,配偶
2980271692,P001445825,family,P002932412,213,舅甥
2980271693,P001429873,family,P005218674,105,配偶
2980271694,P001433954,family,P005218681,220,亲属
2980271695,P001394185,family,P005218974,105,配偶
2980271696,P001410253,family,P005220116,108,兄妹
2980271697,P001445198,family,P001445199,105,配偶
2980271698,P001431719,family,P005221277,104,母亲
2980271699,P001444144,family,P005221724,105,配偶
2980271700,P001428621,family,P001428622,106,兄弟
2980271701,P001494952,family,P001574282,105,配偶
2980271702,P001408279,family,P002931280,108,兄妹
2980271703,P001444452,family,P002931436,106,兄弟
2980271704,P001414190,family,P002932157,211,叔侄
2980271705,P002930409,family,P002932509,210,妹夫
2980271706,P001435927,family,P005220930,219,其他
2980271707,P001408253,family,P005221665,108,兄妹
2980271708,P001424643,family,P001424644,103,父亲
2980271709,P001452102,family,P001573020,220,亲属
2980271710,P001418701,family,P005219386,106,兄弟
2980271711,P001429820,family,P005219886,105,配偶
2980271712,P005217989,family,P000129034,104,母亲
2980271713,P001405680,family,P001423069,106,兄弟
2980271714,P001427816,family,P001446397,105,配偶
2980271715,P001467754,family,P001572426,205,表兄妹
2980271716,P002930460,family,P002930455,106,兄弟
2980271717,P002787457,family,P005219825,105,配偶
2980271718,P001420988,family,P000892304,214,弟媳
2980271719,P002931130,family,P001409899,103,父亲
2980271720,P001550223,family,P001531716,108,兄妹
2980271721,P001407228,family,P001407229,106,兄弟
2980271722,P001416769,family,P001399256,103,父亲
2980271723,P005218148,family,P001445146,219,其他
2980271724,P001502216,family,P002932147,209,姐夫
2980271725,P001425888,family,P002932478,209,姐夫
2980271726,P001396835,family,P002932716,103,父亲
2980271727,P001405212,family,P005218740,103,父亲
2980271728,P001444092,family,P005219433,105,配偶
2980271729,P001421468,family,P005220038,109,姐弟
2980271730,P002931089,family,P001426946,216,女婿
2980271731,P001413437,family,P001430999,106,兄弟
2980271732,P001432153,family,P002932242,103,父亲
2980271733,P001415304,family,P005219255,106,兄弟
2980271734,P000437733,family,P000598889,220,亲属
2980271735,P001400026,family,P001417355,106,兄弟
2980271736,P001450844,family,P001432298,105,配偶
2980271737,P001445103,family,P002930519,220,亲属
2980271738,P002930582,family,P002931952,107,姐妹
2980271739,P001445559,family,P002932482,106,兄弟
2980271740,P001412403,family,P005218677,105,配偶
2980271741,P001445905,family,P005219417,105,配偶
2980271742,P001406789,family,P005219474,220,亲属
2980271743,P001444458,family,P001444454,103,父亲
2980271744,P001424579,family,P002932741,103,父亲
2980271745,P001398438,family,P001418018,103,父亲
2980271746,P001402219,family,P001443109,106,兄弟
2980271747,P001428080,family,P001540417,219,其他
2980271748,P001467751,family,P001574865,106,兄弟
2980271749,P001444823,family,P001582179,210,妹夫
2980271750,P001414190,family,P002930700,110,儿子
2980271751,P001420577,family,P002931452,211,叔侄
2980271752,P001434021,family,P005219146,105,配偶
2980271753,P001426748,family,P002930744,220,亲属
2980271754,P001422246,family,P005219377,108,兄妹
2980271755,P001425872,family,P005220521,105,配偶
2980271756,P001444474,family,P002932385,220,亲属
2980271757,P001402659,family,P002932791,105,配偶
2980271758,P001418256,family,P005219936,103,父亲
2980271759,P001408136,family,P001390911,216,女婿
2980271760,P001426996,family,P001426997,104,母亲
2980271761,P002930880,family,P001453866,105,配偶
2980271762,P000096735,family,P002930372,109,姐弟
2980271763,P001404887,family,P002931212,105,配偶
2980271764,P001452170,family,P002931885,220,亲属
2980271765,P001417058,family,P005219371,105,配偶
2980271766,P001405251,family,P005220541,107,姐妹
2980271767,P001416339,family,P005220645,104,母亲
2980271768,P002930597,family,P002931313,106,兄弟
2980271769,P001397277,family,P002931547,105,配偶
2980271770,P001445673,family,P002932536,105,配偶
2980271771,P001501817,family,P005219462,105,配偶
2980271772,P005218306,family,P001421288,104,母亲
2980271773,P001449234,family,P002932967,220,亲属
2980271774,P001498197,family,P001580359,103,父亲
2980271775,P001403305,family,P002931921,103,父亲
2980271776,P005218165,family,P005220379,108,兄妹
2980271777,P001439723,family,P002931109,109,姐弟
2980271778,P001405997,family,P002931351,105,配偶
2980271779,P001428244,family,P002931393,106,兄弟
2980271780,P001413934,family,P005221401,108,兄妹
2980271781,P001424044,family,P001421431,212,姑侄
2980271782,P005218134,family,P001428566,104,母亲
2980271783,P001411627,family,P001516209,103,父亲
2980271784,P002930486,family,P002932032,105,配偶
2980271785,P001400255,family,P002932172,105,配偶
2980271786,P001444812,family,P005219521,105,配偶
2980271787,P001421451,family,P005220081,103,父亲
2980271788,P001425871,family,P005221285,106,兄弟
2980271789,P001452216,family,P005221539,109,姐弟
2980271790,P001417619,family,P005221732,105,配偶
2980271791,P001454498,family,P001454501,103,父亲
2980271792,P001522654,family,P001495038,103,父亲
2980271793,P001412138,family,P002932657,105,配偶
2980271794,P001423360,family,P005218759,105,配偶
2980271795,P001437938,family,P005220399,105,配偶
2980271796,P001413638,family,P005220516,104,母亲
2980271797,P001574877,family,P005221420,105,配偶
2980271798,P001400655,family,P005221731,106,兄弟
2980271799,P001421392,family,P001439801,106,兄弟
2980271800,P001470089,family,P001451388,103,父亲
2980271801,P005217891,family,P001565040,104,母亲
2980271802,P001438385,family,P005219937,105,配偶
2980271803,P001398445,family,P001476679,220,亲属
2980271804,P001423030,family,P001425839,103,父亲
2980271805,P001574325,family,P002932212,105,配偶
2980271806,P000677317,family,P002932368,103,父亲
2980271807,P001494017,family,P002932864,215,儿媳
2980271808,P001400638,family,P005218856,108,兄妹
2980271809,P001471969,family,P005219335,108,兄妹
2980271810,P005217805,family,P005219461,105,配偶
2980271811,P001423080,family,P005220276,106,兄弟
2980271812,P001423497,family,P001406134,103,父亲
2980271813,P001424111,family,P001406744,105,配偶
2980271814,P001404614,family,P002931678,103,父亲
2980271815,P001422014,family,P001407881,103,父亲
2980271816,P001466585,family,P001447974,105,配偶
2980271817,P001417775,family,P002932067,209,姐夫
2980271818,P000964158,family,P002932137,106,兄弟
2980271819,P000276195,family,P002932230,103,父亲
2980271820,P001414055,family,P002933036,105,配偶
2980271821,P002930361,family,P002931413,103,父亲
2980271822,P002930546,family,P002931839,103,父亲
2980271823,P001410098,family,P005218493,105,配偶
2980271824,P001453848,family,P005218587,105,配偶
2980271825,P001423141,family,P001405764,104,母亲
2980271826,P001421539,family,P001421540,105,配偶
2980271827,P001396835,family,P001424577,108,兄妹
2980271828,P002930768,family,P001466471,103,父亲
2980271829,P001427369,family,P001512660,219,其他
2980271830,P001429073,family,P005218439,106,兄弟
2980271831,P001399913,family,P005220891,106,兄弟
2980271832,P001428106,family,P005221423,109,姐弟
2980271833,P001425875,family,P001455073,105,配偶
2980271834,P001407175,family,P002932175,105,配偶
2980271835,P001445648,family,P002932455,106,兄弟
2980271836,P001467518,family,P002931996,219,其他
2980271837,P002930548,family,P002932817,104,母亲
2980271838,P005218186,family,P005221035,105,配偶
2980271839,P001437202,family,P001455746,105,配偶
2980271840,P001439721,family,P002930818,105,配偶
2980271841,P001445103,family,P002931867,108,兄妹
2980271842,P001431872,family,P005219815,106,兄弟
2980271843,P001438723,family,P005220945,214,弟媳
2980271844,P001413475,family,P001488855,103,父亲
2980271845,P001417361,family,P002930781,110,儿子
2980271846,P002388986,family,P002356921,201,表兄弟
2980271847,P001547869,family,P005219512,105,配偶
2980271848,P001447417,family,P005219861,110,儿子
2980271849,P001435623,family,P005221114,104,母亲
2980271850,P001570620,family,P001477991,103,父亲
2980271851,P001409564,family,P002932048,106,兄弟
2980271852,P001451205,family,P001527671,104,母亲
2980271853,P001466581,family,P001547849,103,父亲
